Organization,Sector,AI_Technology,Process_Type,Business_Function,Implementation_Stage,Success_Outcome,Key_Metrics_Achieved,Time_Horizon,Organization_Size
Aldi (ALDIgo),Retail,Computer Vision,Single-department,Retail Operations,Production,Success,Automated checkout experience,12+ months,Enterprise
Tesco (GetGo),Retail,Computer Vision,Single-department,Retail Operations,Production,Success,Reduced checkout times significantly,12+ months,Enterprise
Wesco,Retail,Computer Vision,Single-department,Retail Operations,Production,Success,Instant item recognition,12+ months,Mid-market
Urban Company,Technology Services,Azure OpenAI/Chatbots,Single-department,Customer Service,Production,Success,"85-90% query resolution, 5% satisfaction increase",12+ months,Mid-market
Heineken,Beverages,Computer Vision/AI,Single-department,Sales/Field Operations,Production,Success,Multilingual voice bot implementation,12+ months,Enterprise
Groupama,Insurance,Azure OpenAI/Virtual Assistant,Single-department,Customer Service,Production,Success,80% success rate for inquiries,3-6 months,Enterprise
Lloyds Banking Group,Financial Services,Power Apps/Azure AI,Single-department,Customer Service,Production,Success,Enhanced customer communication,6-12 months,Enterprise
PKO Leasing,Financial Services,AI/ML,Single-department,Finance/Operations,Production,Success,Various AI implementations,12+ months,Enterprise
Nationwide,Insurance,AI Tools,Single-department,Customer Service,Production,Success,AI adoption improvements,12+ months,Enterprise
LAQO Insurance,Insurance,Azure OpenAI/Chatbot,Single-department,Customer Service,Production,Success,"30% query resolution, 24/7 support",6-12 months,Mid-market
Midea Group,Manufacturing,AI/Digital Transformation,Cross-departmental,Operations/Manufacturing,Production,Success,Significant operational improvements,12+ months,Enterprise
Okian Essentials (SME),Food & Beverage SME,K-NN Algorithm/Forecasting,Single-department,Operations/Inventory,Production,Success,95-96% recognition accuracy,3-6 months,Small
National Insurance Provider,Insurance,AI for Claims Processing,Single-department,Claims Processing,Production,Success,"30% time savings, doubled compliance",12+ months,Enterprise
Energy Utility Company,Energy/Utilities,AI for Predictive Maintenance,Single-department,Maintenance/Operations,Production,Success,Predictive maintenance improvements,6-12 months,Mid-market
Professional Services Firm,Professional Services,AI for Project Staffing,Single-department,HR/Resource Allocation,Production,Success,Data-informed culture adoption,12+ months,Mid-market
Fast-growing Bank,Banking,RPA/Core Banking,Single-department,Finance/Banking,Production,Success,78% reduction in turnaround time,12+ months,Mid-market
Manufacturing Company,Manufacturing,RPA/Manufacturing,Cross-departmental,Manufacturing/Operations,Production,Success,40% reduction in operating costs,36+ months,Enterprise
High-tech Manufacturer,Manufacturing,RPA/Back-office,Cross-departmental,Operations/Back-office,Production,Success,"$90K annual savings, 10-day deployment",12+ months,Enterprise
Tobacco Manufacturer,Tobacco/FMCG,Computer Vision/Merchandising,Single-department,Marketing/Merchandising,Production,Success,"2-3 days training, 95-97% accuracy",6-12 months,Enterprise
Healthcare Platform Developer,Healthcare Technology,Agentic AI/Clinical Workflow,Single-department,Clinical Operations,Production,Success,"30% time savings, compliance improvement",6-12 months,Mid-market
Bosch (Electronics),Electronics/Automotive,Computer Vision/PCB Inspection,Single-department,Quality Control/Manufacturing,Production,Success,Defect detection improvements,12+ months,Enterprise
Volvo (Automotive),Automotive,Computer Vision/Damage Assessment,Single-department,Claims/Insurance,Production,Success,Damage assessment automation,12+ months,Enterprise
German Bottle Cap Manufacturer,Manufacturing,Computer Vision/Quality Control,Single-department,Quality Control/Manufacturing,Production,Success,"120 caps/min inspection, improved accuracy",12+ months,Mid-market
GovLab Canada,Government/Technology,AI/Environmental/Disaster Prediction,Cross-departmental,Public Services/Emergency Management,Production,Success,Various government AI applications,12+ months,Government
US Department of Defense,Defense,AI/Defense Applications,Cross-departmental,Military/Defense Operations,Production,Mixed,Enhanced military decision-making,Ongoing,Government
Various Educational Institutions,Education,AI/Educational Automation,Cross-departmental,Education/Administration,Mixed,Mixed,Reduced administrative burden,Mixed,Mixed
,,,,,,,,,
